"exp_rep","media_type2","strain","str_med2","str_med2_rep","mintime","peak growth rate","peak growth time","doubling time","lag time","max y","max y time"
"exp1107_dccAB_bhis_4","bhis","cAB","cAB_bhis","cAB_bhis_4",0,0.119788800053852,5.79050724369305,5.78641058469851,3.16161156784762,0.696766017741692,9.8
"exp1107_dccA_bhis_4","bhis","cA","cA_bhis","cA_bhis_4",0,0.129318108308579,5.66162426096034,5.36001639388317,3.13837889927563,0.725377147371375,9.5
"exp1107_dccA_bhis_dc_01_4","bhis_dc_01","cA","cA_bhis_dc_01","cA_bhis_dc_01_4",2.7,0.0459440053768408,9.92118647454044,15.0867817221122,6.69016433985385,0.292776239891691,13.2
"exp1107_dccA_comp_bhis_4","bhis","cA_comp","cA_comp_bhis","cA_comp_bhis_4",0,0.128792984954757,5.07194092487283,5.38187061044851,2.78356226026552,0.719399738138904,9.3
"exp1107_dccA_comp_bhis_dc_01_4","bhis_dc_01","cA_comp","cA_comp_bhis_dc_01","cA_comp_bhis_dc_01_4",2.2,0.0502519945495435,9.77976922837709,13.7934262465258,6.62726197737592,0.311045602845494,12.8
"exp1107_dccB_bhis_4","bhis","cB","cB_bhis","cB_bhis_4",0,0.12143318413876,5.98481742116143,5.70805406673596,3.17387568719947,0.702829631781359,9.8
"exp1107_dccB_comp_bhis_4","bhis","cB_comp","cB_comp_bhis","cB_comp_bhis_4",0,0.121120558585463,5.80297573910765,5.72278718538815,3.16612529713928,0.68933066010342,9.7
"exp1107_dccB_comp_bhis_dc_01_4","bhis_dc_01","cB_comp","cB_comp_bhis_dc_01","cB_comp_bhis_dc_01_4",5.2,0.0383263093570171,10.8240979032941,18.085414228204,7.98958290347996,0.274429743648603,15.3
"exp1107_dcwt_bhis_4","bhis","wt","wt_bhis","wt_bhis_4",0,0.126504693586674,5.39595298804325,5.47922105423734,2.98241337092379,0.720590815502106,9.5
"exp1107_dcwt_bhis_dc_01_4","bhis_dc_01","wt","wt_bhis_dc_01","wt_bhis_dc_01_4",4.2,0.0406934710583881,10.7686046520225,17.0333756873529,7.68984707652702,0.273104330560064,14.3
