"Time","wellID","od","rowID","colID","abx","abx_conc","strain","replicate","abx_cond","str_abx_cond"
1.83361111111111,"B1",0.0391,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
2.00027777777778,"B1",0.0402,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
2.16694444444444,"B1",0.0415,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
2.33361111111111,"B1",0.0421,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
2.50027777777778,"B1",0.0438,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
2.66694444444444,"B1",0.045,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
2.83361111111111,"B1",0.0464,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
3.00027777777778,"B1",0.0475,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
3.16694444444444,"B1",0.0499,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
3.33361111111111,"B1",0.0513,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
3.50027777777778,"B1",0.0539,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
3.66722222222222,"B1",0.0558,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
3.83388888888889,"B1",0.0592,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
4.00055555555556,"B1",0.0624,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
4.16722222222222,"B1",0.066,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
4.33388888888889,"B1",0.0686,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
4.50055555555556,"B1",0.0743,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
4.66722222222222,"B1",0.0774,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
4.83388888888889,"B1",0.0848,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
5.00055555555556,"B1",0.0919,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
5.16722222222222,"B1",0.0932,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
5.33388888888889,"B1",0.0995,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
5.50055555555556,"B1",0.1108,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
5.66722222222222,"B1",0.1134,"B","1","monensin","0.8","wt","2","monensin_0.8","wt2_monensin_0.8"
