"Time","wellID","od","rowID","colID","abx","abx_conc","strain","abx_cond","str_abx_cond"
17.8361111111111,"A1",0.760175,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
18.0027777777778,"A1",0.7561,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
18.1694444444444,"A1",0.75205,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
18.3361111111111,"A1",0.745225,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
18.5027777777778,"A1",0.738975,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
18.6694444444444,"A1",0.73,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
18.8361111111111,"A1",0.723825,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
19.0027777777778,"A1",0.720425,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
19.1697222222222,"A1",0.713225,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
19.3363888888889,"A1",0.703175,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
19.5030555555556,"A1",0.696775,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
19.6697222222222,"A1",0.68915,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
19.8363888888889,"A1",0.676375,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
20.0030555555556,"A1",0.6698,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
20.1697222222222,"A1",0.66055,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
20.3363888888889,"A1",0.65065,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
20.5030555555556,"A1",0.638975,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
20.6697222222222,"A1",0.6274,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
20.8363888888889,"A1",0.6194,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
21.0030555555556,"A1",0.61135,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
21.1697222222222,"A1",0.5941,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
21.3363888888889,"A1",0.579275,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
21.5033333333333,"A1",0.566175,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
21.67,"A1",0.553075,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
21.8366666666667,"A1",0.5446,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
22.0033333333333,"A1",0.53625,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
22.17,"A1",0.524775,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
22.3366666666667,"A1",0.516425,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
22.5033333333333,"A1",0.5112,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
22.67,"A1",0.5043,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
22.8366666666667,"A1",0.500175,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
23.0033333333333,"A1",0.497525,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
23.17,"A1",0.495325,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
23.3366666666667,"A1",0.494075,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
23.5033333333333,"A1",0.4932,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
23.67,"A1",0.48945,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
23.8369444444444,"A1",0.49035,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
24.0036111111111,"A1",0.49125,"A","1","bhis","0","wt","bhis_0","wt_bhis_0"
0,"B1",0.040725,"B","1","monensin","0.4","wt","monensin_0.4","wt_monensin_0.4"
0.166666666666667,"B1",0.03125,"B","1","monensin","0.4","wt","monensin_0.4","wt_monensin_0.4"
0.333333333333333,"B1",0.032725,"B","1","monensin","0.4","wt","monensin_0.4","wt_monensin_0.4"
0.5,"B1",0.0363,"B","1","monensin","0.4","wt","monensin_0.4","wt_monensin_0.4"
0.666666666666667,"B1",0.0354,"B","1","monensin","0.4","wt","monensin_0.4","wt_monensin_0.4"
0.833333333333333,"B1",0.036775,"B","1","monensin","0.4","wt","monensin_0.4","wt_monensin_0.4"
1,"B1",0.037875,"B","1","monensin","0.4","wt","monensin_0.4","wt_monensin_0.4"
1.16694444444444,"B1",0.0427,"B","1","monensin","0.4","wt","monensin_0.4","wt_monensin_0.4"
1.33361111111111,"B1",0.0427,"B","1","monensin","0.4","wt","monensin_0.4","wt_monensin_0.4"
